Tên trang sức	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Ngũ hành	Độ bền	Phòng ngự (Nội, ngoại)	Thuộc tính hỗ trợ 1	Trị số Thuộc tính hỗ trợ 1	Thuộc tính hỗ trợ 2	Trị số Thuộc tính hỗ trợ 2	Số trang bị	Đắng cấp yêu cầu	Giới tính yêu cầu	Thể hình yêu cầu	Môn phái yêu cầu	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	ì°±áễÚẫớẫẽàÄấ±ºũÊơấạểÃàÄẽễấắÀàéÍÃỷìệ	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Đánh giá đẳng cấp	Có/không thể giao dịch (0 được,1 không được,)	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Có/Không thể sửa (0Có/1Không)	Dự Lưu	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Chân Vũ Dao Bội	0	102	1471	5	50		70						1470101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	14	0					
Chân Vũ Dương Bội	0	102	1452	3	50		50						1450201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	14	0					
Chân Vũ Dao Bội	0	102	1472	5	50		70						1470201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	14	0					
Chân Vũ Dương Bội	0	102	1453	3	50		50						1450301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	14	0					
Chân Vũ Dao Bội	0	102	1473	5	50		70						1470301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	14	0					
Chân Vũ Dương Bội	0	102	1454	3	50		50						1450401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	14	0					
Chân Vũ Dao Bội	0	102	1474	5	50		70						1470401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	14	0					
Nhất Dương Bội	0	102	1551	3	50		50						1550101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	15	0					
Nhất Dương Dao Bội	0	102	1571	5	50		70						1570101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	15	0					
Nhất Dương Bội	0	102	1552	3	50		50						1550201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	15	0					
Nhất Dương Dao Bội	0	102	1572	5	50		70						1570201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	15	0					
Nhất Dương Bội	0	102	1553	3	50		50						1550301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	15	0					
Nhất Dương Dao Bội	0	102	1573	5	50		70						1570301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	15	0					
Nhất Dương Bội	0	102	1554	3	50		50						1550401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	15	0					
Nhất Dương Dao Bội	0	102	1574	5	50		70						1570401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	15	0					
Xa Kỵ Chiến Sĩ Bội	0	102	1751	3	50		50						1750101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	17	0					
Xa Kỵ Tướng Quân Bội	0	102	1771	5	50		70						1770101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	17	0					
Xa Kỵ Chiến Sĩ Bội	0	102	1752	3	50		50						1750201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	17	0					
Xa Kỵ Tướng Quân Bội	0	102	1772	5	50		70						1770201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	17	0					
Xa Kỵ Chiến Sĩ Bội	0	102	1753	3	50		50						1750301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	17	0					
Xa Kỵ Tướng Quân Bội	0	102	1773	5	50		70						1770301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	17	0					
Xa Kỵ Chiến Sĩ Bội	0	102	1754	3	50		50						1750401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	17	0					
Xa Kỵ Tướng Quân Bội	0	102	1774	5	50		70						1770401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	17	0					
Dương Định Bội	0	102	1851	3	50		50						1850101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	18	0					
Dương An Bội	0	102	1871	5	50		70						1870101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	18	0					
Dương Định Bội	0	102	1852	3	50		50						1850201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	18	0					
Dương An Bội	0	102	1872	5	50		70						1870201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	18	0					
Dương Định Bội	0	102	1853	3	50		50						1850301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	18	0					
Dương An Bội	0	102	1873	5	50		70						1870301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	18	0					
Dương Định Bội	0	102	1854	3	50		50						1850401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	18	0					
Dương An Bội	0	102	1874	5	50		70						1870401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	18	0					
U Lung Lưu Vân Bội	0	102	2051	3	50		50						2050101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	20	0					
U Minh Thiên Quân Bội	0	102	2071	5	50		70						2070101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	20	0					
U Lung Lưu Vân Bội	0	102	2052	3	50		50						2050201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	20	0					
U Minh Thiên Quân Bội	0	102	2072	5	50		70						2070201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	20	0					
U Lung Lưu Vân Bội	0	102	2053	3	50		50						2050301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	20	0					
U Minh Thiên Quân Bội	0	102	2073	5	50		70						2070301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	20	0					
U Lung Lưu Vân Bội	0	102	2054	3	50		50						2050401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	20	0					
U Minh Thiên Quân Bội	0	102	2074	5	50		70						2070401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	20	0					
Miêu Cổ Bội	0	102	2151	3	50		50						2150101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	21	0					
Miêu Tâm Bội	0	102	2171	5	50		70						2170101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	21	0					
Miêu Cổ Bội	0	102	2152	3	50		50						2150201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Loại ngọc bội tinh quý, mang đến một luồng không khí ấm áp		Đã khóa		5	2	1	21	0					
Miêu Tâm Bội	0	102	2172	5	50		70						2170201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Loại ngọc bội màu đen, mang đến một luồng không khí ấm áp		Đã khóa		7	2	1	21	0					
Miêu Cổ Bội	0	102	2153	3	50		50						2150301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	21	0					
Miêu Tâm Bội	0	102	2173	5	50		70						2170301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	21	0					
Miêu Cổ Bội	0	102	2154	3	50		50						2150401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Hương nang có chứa trầm hương, có tác dụng thanh tâm tịnh khí		Đã khóa		5	2	1	21	0					
Miêu Tâm Bội	0	102	2174	5	50		70						2170401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diên hương nang, có tác dụng thanh tâm tịnh khí		Đã khóa		7	2	1	21	0					
Hỗn Nguyên Bàn Chỉ	0	102	211	5	2000	0	50						2011	50	1	1	Tân thủ không thể dùng	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	Đệ tử Tục Gia Thiếu Lâm thường đeo		Đã khóa		6	2	1	2	0					
Hỗn Nguyên Bàn Chỉ	0	102	212	5	2000	0	50						2012	50	1	2	Tân thủ không thể dùng	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	Đệ tử Tục Gia Thiếu Lâm thường đeo		Đã khóa		6	2	1	2	0					
Phục Ma Kim Cang Chiến ý Bàn Chỉ	0	102	221	10	10000	0	100						2021	77	1	1	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Tục Gia Thiếu Lâm thường đeo		Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	2	0					
Phục Ma Kim Cang Chiến ý Bàn Chỉ	0	102	222	10	10000	0	100						2022	77	1	2	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Tục Gia Thiếu Lâm thường đeo		Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	2	0					
Phục Ma Kim Cang Chiến ý Giới Chỉ	0	102	223	10	10000	0	100						2021	78	1	1	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Tục Gia Thiếu Lâm thường đeo		Đã khóa		8	2	1	2	0					
Phục Ma Kim Cang Chiến ý Giới Chỉ	0	102	224	10	10000	0	100						2022	78	1	2	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Tục Gia Thiếu Lâm thường đeo		Đã khóa		8	2	1	2	0					
Phục Ma Kim Cang Chiến ý Bàn Chỉ	0	102	2219	10	0	0	100						92021	70	1	1	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Tục Gia Thiếu Lâm thường đeo		Đã khóa		9	2	1	2	0					
Phục Ma Kim Cang Chiến ý Bàn Chỉ	0	102	2229	10	0	0	100						92022	70	1	2	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Tục Gia Thiếu Lâm thường đeo		Đã khóa		9	2	1	2	0					
Phục Ma Kim Cang Chiến ý Giới Chỉ	0	102	2239	10	0	0	100						92021	70	1	1	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Tục Gia Thiếu Lâm thường đeo		Đã khóa		9	2	1	2	0					
Phục Ma Kim Cang Chiến ý Giới Chỉ	0	102	2249	10	0	0	100						92022	70	1	2	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Tục Gia Thiếu Lâm thường đeo		Đã khóa		9	2	1	2	0					
Thiền Tu Bàn Chỉ	0	102	311	5	2000	0	50						3011	50	1	1	Tân thủ không thể dùng	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	Đệ tử Thiền Tăng Thiếu Lâm thường đeo		Đã khóa		6	2	1	3	0					
Thiền Tu Bàn Chỉ	0	102	312	5	2000	0	50						3012	50	1	2	Tân thủ không thể dùng	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	Đệ tử Thiền Tăng Thiếu Lâm thường đeo		Đã khóa		6	2	1	3	0					
Truyền Kinh Thiền Tịnh Bàn Chỉ	0	102	321	10	10000	0	100						3021	77	1	1	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Thiền Tăng Thiếu Lâm thường đeo		Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	3	0					
Truyền Kinh Thiền Tịnh Bàn Chỉ	0	102	322	10	10000	0	100						3022	77	1	2	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Thiền Tăng Thiếu Lâm thường đeo		Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	3	0					
Truyền Kinh Thiền Tịnh Ngọc Giới Chỉ	0	102	323	10	10000	0	100						3021	78	1	1	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Thiền Tăng Thiếu Lâm thường đeo		Đã khóa		8	2	1	3	0					
Truyền Kinh Thiền Tịnh Ngọc Giới Chỉ	0	102	324	10	10000	0	100						3022	78	1	2	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Thiền Tăng Thiếu Lâm thường đeo		Đã khóa		8	2	1	3	0					
Truyền Kinh Thiền Tịnh Bàn Chỉ	0	102	3219	10	0	0	100						93021	70	1	1	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Thiền Tăng Thiếu Lâm thường đeo		Đã khóa		9	2	1	3	0					
Truyền Kinh Thiền Tịnh Bàn Chỉ	0	102	3229	10	0	0	100						93022	70	1	2	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Thiền Tăng Thiếu Lâm thường đeo		Đã khóa		9	2	1	3	0					
Truyền Kinh Thiền Tịnh Ngọc Giới Chỉ	0	102	3239	10	0	0	100						93021	70	1	1	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Thiền Tăng Thiếu Lâm thường đeo		Đã khóa		9	2	1	3	0					
Truyền Kinh Thiền Tịnh Ngọc Giới Chỉ	0	102	3249	10	0	0	100						93022	70	1	2	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Thiền Tăng Thiếu Lâm thường đeo		Đã khóa		9	2	1	3	0					
Đấu Tăng Bàn Chỉ	0	102	411	5	2000	0	50						4011	50	1	1	Tân thủ không thể dùng	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	Đệ tử Võ Tăng Thiếu Lâm thường đeo		Đã khóa		6	2	1	4	0					
Đấu Tăng Bàn Chỉ	0	102	412	5	2000	0	50						4012	50	1	2	Tân thủ không thể dùng	\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	Đệ tử Võ Tăng Thiếu Lâm thường đeo		Đã khóa		6	2	1	4	0					
Hộ Pháp La Hán Đấu Khí Bàn Chỉ	0	102	421	10	10000	0	100						4021	77	1	1	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Võ Tăng Thiếu Lâm thường đeo		Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	4	0					
Hộ Pháp La Hán Đấu Khí Bàn Chỉ	0	102	422	10	10000	0	100						4022	77	1	2	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Võ Tăng Thiếu Lâm thường đeo		Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	4	0					
Hộ Pháp La Hán Đấu Khí Giới Chỉ	0	102	423	10	10000	0	100						4021	78	1	1	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Võ Tăng Thiếu Lâm thường đeo		Đã khóa		8	2	1	4	0					
Hộ Pháp La Hán Đấu Khí Giới Chỉ	0	102	424	10	10000	0	100						4022	78	1	2	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Võ Tăng Thiếu Lâm thường đeo		Đã khóa		8	2	1	4	0					
Hộ Pháp La Hán Đấu Khí Bàn Chỉ	0	102	4219	10	0	0	100						94021	70	1	1	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Võ Tăng Thiếu Lâm thường đeo		Đã khóa		9	2	1	4	0					
Hộ Pháp La Hán Đấu Khí Bàn Chỉ	0	102	4229	10	0	0	100						94022	70	1	2	Tân thủ không thể dùng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Đệ tử Võ Tăng Thiếu Lâm thường đeo		Đã khóa		9	2	1	4	0					
Hộ Pháp La Hán Đấu Khí Giới Chỉ	0	102	4239	10	0	0	100						94021	70	1	1	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Võ Tăng Thiếu Lâm thường đeo		Đã khóa		9	2	1	4	0					
Hộ Pháp La Hán Đấu Khí Giới Chỉ	0	102	4249	10	0	0	100						94022	70	1	2	Tân thủ không thể dùng	\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	Đệ tử Võ Tăng Thiếu Lâm thường đeo		Đã khóa		9	2	1	4	0					
Hộ Pháp Bài	0	102	611	5	2000	0	50						6011	50	1	1	Tân thủ không thể dùng	\image\item\other\ÄÚễºìĩạĩẹỹÅặa1.spr	\image\item\other\ÄÚễºìĩạĩẹỹÅặa0_120.spr	Lệnh bài đệ tử Đường Môn đeo trong lúc tuần tra		Đã khóa		6	2	1	6	0					
Hộ Pháp Bài	0	102	612	5	2000	0	50						6012	50	1	2	Tân thủ không thể dùng	\image\item\other\ÄÚễºìĩạĩẹỹÅặa1.spr	\image\item\other\ÄÚễºìĩạĩẹỹÅặa0_120.spr	Lệnh bài đệ tử Đường Môn đeo trong lúc tuần tra		Đã khóa		6	2	1	6	0					
Hộ Pháp Bài	0	102	613	5	2000	0	50						6013	55	2	3	Tân thủ không thể dùng	\image\item\other\ÄÚễºìĩạĩẹỹÅặa1.spr	\image\item\other\ÄÚễºìĩạĩẹỹÅặa0_120.spr	Lệnh bài đệ tử Đường Môn đeo trong lúc tuần tra		Đã khóa		6	2	1	6	0					
